BindingDB MonomerID,IC50 (nM),Ligand SMILES
wild_239503,77,C[C@H]1CN(C[C@@H](C)O1)c1cc(ncn1)-c1n[nH]c2ccc(cc12)-c1ccc(cc1)C(=O)NCCO
wild_239487,240.1,C[C@H]1CN(C[C@@H](C)O1)c1cc(ncn1)-c1n[nH]c2ccc(cc12)-c1ccc2ncnn2c1
wild_239502,60.6,C[C@H]1CN(C[C@@H](C)O1)c1cc(ncn1)-c1n[nH]c2ccc(cc12)-c1ccc2nncn2c1
wild_239505,47.9,C[C@H]1CN(C[C@@H](C)O1)c1cc(ncn1)-c1n[nH]c2ccc(cc12)-c1cccc(c1)C#N
wild_239544,1.44,C[C@H]1CN(C[C@@H](C)O1)c1cc(ncn1)-c1n[nH]c2ccc(cc12)-c1ccn[nH]1
wild_239497,171.7,C[C@H]1CN(C[C@@H](C)O1)c1cc(ncn1)-c1n[nH]c2ccc(cc12)-c1ccnc(c1)C#N
wild_239492,49.5,C[C@H]1CN(C[C@@H](C)O1)c1cc(ncn1)-c1n[nH]c2ccc(cc12)-c1ccncc1
wild_239489,32.1,C[C@H]1CN(C[C@@H](C)O1)c1cc(ncn1)-c1n[nH]c2ccc(cc12)-c1ccnn1C
wild_239543,1.35,C[C@H]1CN(C[C@@H](C)O1)c1cc(ncn1)-c1n[nH]c2ccc(cc12)-c1cn[nH]c1
wild_239498,17.4,C[C@H]1CN(C[C@@H](C)O1)c1cc(ncn1)-c1n[nH]c2ccc(cc12)-c1cnc(C)c(C)n1
wild_239499,7.6,C[C@H]1CN(C[C@@H](C)O1)c1cc(ncn1)-c1n[nH]c2ccc(cc12)-c1cnc(s1)N1CCCC1
wild_239490,2.2,C[C@H]1CN(C[C@@H](C)O1)c1cc(ncn1)-c1n[nH]c2ccc(cc12)-c1cncc(C)c1
wild_239494,30.3,C[C@H]1CN(C[C@@H](C)O1)c1cc(ncn1)-c1n[nH]c2ccc(cc12)-c1cncnc1
wild_239186,1.4,C[C@H]1CN(C[C@@H](C)O1)c1cc(ncn1)-c1n[nH]c2ccc(cc12)-c1cnn(C)c1
wild_239491,40,C[C@H]1CN(C[C@@H](C)O1)c1cc(ncn1)-c1n[nH]c2ccc(cc12)-c1conc1C
wild_257207,0.4,C[C@H]1CN(C[C@@H](C)O1)c1cc(ncn1)-c1n[nH]c2ccc(OC3(C)CC3)cc12
wild_50609731,14,C[C@H]1CN(C[C@@H](C)O1)c1cc(ncn1)-n1ncc2ccc(cc12)-c1ccn[nH]1
wild_593306,300,C[C@H]1CN(C[C@@H](C)O1)c1ccc(Nc2ncc(F)c(OC[C@H]3CC[C@@H](CC3)OC(F)F)n2)cc1
wild_593087,125,C[C@H]1CN(C[C@@H](C)O1)c1ccc(Nc2ncc(F)c(OCC3(F)CCN(C)CC3)n2)cc1
wild_593165,125,C[C@H]1CN(C[C@@H](C)O1)c1ccc(Nc2ncc(F)c(OCC34CCC(O)(CC3)CC4)n2)cc1
wild_593292,125,C[C@H]1CN(C[C@@H](C)O1)c1ccc(Nc2ncc(F)c(OCC3CCC(F)(F)C3)n2)cc1
wild_593290,300,C[C@H]1CN(C[C@@H](C)O1)c1ccc(Nc2ncc(F)c(OCC3CCC(F)(F)CC3)n2)cc1
wild_593283,125,C[C@H]1CN(C[C@@H](C)O1)c1ccc(Nc2ncc(F)c(OCC3CCC(O)(CC3)C(F)(F)F)n2)cc1
wild_593196,300,C[C@H]1CN(C[C@@H](C)O1)c1ccc(Nc2ncc(F)c(OCC3CCN(CC3F)C(C)=O)n2)cc1
wild_593190,125,C[C@H]1CN(C[C@@H](C)O1)c1ccc(Nc2ncc(F)c(OCC3CCNCC3F)n2)cc1
wild_593095,125,C[C@H]1CN(C[C@@H](C)O1)c1ccc(Nc2nccc(OC[C@H]3CC[C@@H](CC3)NC(C)=O)n2)cc1
wild_593101,300,C[C@H]1CN(C[C@@H](C)O1)c1ccc(Nc2nccc(OCC34C5C6C3C3C4C5C63NC(C)=O)n2)cc1
wild_593163,125,C[C@H]1CN(C[C@@H](C)O1)c1ccc(Nc2nccc(OCC3CCC(CO)CC3)n2)cc1
wild_593140,125,C[C@H]1CN(C[C@@H](C)O1)c1ccc(Nc2nccc(OCC3CCC(O)CC3)n2)cc1
wild_50518329,20,C[C@H]1CN(C[C@@H](C)O1)c1ccc(OCc2ccccc2)c(c1)C(=O)Nc1ccnnc1
wild_568972,550,C[C@H]1CN(C[C@@H](C)O1)c1cccc(c1)-c1n[nH]c2ccc(NC(=O)c3ncc(cc3C)C#N)cc12
wild_620982,97.5,C[C@H]1CN(CCN1C1(C)COCC1O)c1cc2nc(Nc3cc(C)nn3C3CC3)ncc2cc1Cl
wild_50590222,1.5,C[C@H]1CN(CCN1C1COC1)c1cc(NC(=O)c2cccc(n2)-c2cnn(C)c2)c(cn1)C(F)(F)F
wild_50535648,1,C[C@H]1CN(CCN1C1COC1)c1cc(ncn1)-n1ncc2ccc(cc12)C1(CC2(CC2)C1)C#N
wild_620820,1.91,C[C@H]1CN(CCN1C1COC1)c1cc2nc(Nc3cnn(c3Cl)C3(C)CC3)ncc2cc1Cl
wild_620793,0.969,C[C@H]1CN(CCN1C1COC1)c1cc2nc(Nc3cnn(CCF)c3C)ncc2cc1Cl
wild_239375,26.5,C[C@H]1CN(CCO1)c1cc(ncn1)-c1n[nH]c2cc(F)c(cc12)-c1cnn(C)c1
wild_239402,2.2,C[C@H]1CN(CCO1)c1cc(ncn1)-c1n[nH]c2ccc(cc12)-c1cnn(C)c1
wild_185526,10,C[C@H]1CN(CCO1)c1ncnc2[nH]cc(-c3cccc(C#N)c3F)c12
wild_50059281,7,C[C@H]1CN(CCO1)c1ncnc2[nH]cc(-c3cccc(c3)C#N)c12
wild_185528,38,C[C@H]1CN(CCO1)c1ncnc2[nH]cc(-c3cccc(F)c3)c12
wild_185515,99,C[C@H]1CN(CCO1)c1ncnc2[nH]cc(-c3cncc(C)c3)c12
wild_185468,57,C[C@H]1CN(CCO1)c1ncnc2[nH]cc(-c3cnn(C)c3)c12
wild_14028,244,C[C@H]1CNCCCN1S(=O)(=O)c1cccc2cncc(C)c12
wild_620944,4.41,C[C@H]1COC(=O)N1c1ccc2cnc(Nc3cc(C)nn3C)nc2c1
wild_620953,0.625,C[C@H]1COC(=O)N1c1ccc2cnc(Nc3cc(ns3)C(C)(C)C)nc2c1
wild_620951,5.08,C[C@H]1COC(=O)N1c1ccc2cnc(Nc3ccns3)nc2c1
wild_620929,1.92,C[C@H]1COC(=O)N1c1ccc2cnc(Nc3cn(C)nc3C(F)(F)F)nc2c1
wild_620955,1.63,C[C@H]1COC(=O)N1c1ccc2cnc(Nc3cn(C)nc3C(F)F)nc2c1
wild_620927,33.7,C[C@H]1COC(=O)N1c1ccc2cnc(Nc3cn(nc3C)C3C[C@H](C)O[C@H](C)C3)nc2c1
wild_620962,7.01,C[C@H]1COC(=O)N1c1ccc2cnc(Nc3cn(nc3Cl)C3CCCCC3)nc2c1
wild_620924,0.625,C[C@H]1COC(=O)N1c1ccc2cnc(Nc3cnn([C@@H]4CCN(C[C@H]4F)C4COC4)c3Cl)nc2c1
wild_620954,1.59,C[C@H]1COC(=O)N1c1ccc2cnc(Nc3cnn([C@H]4CCN(C[C@H]4C)C4COC4)c3Cl)nc2c1
wild_620926,1.57,C[C@H]1COC(=O)N1c1ccc2cnc(Nc3cnn(C4C[C@H](C)O[C@H](C)C4)c3C)nc2c1
wild_50584328,0.625,C[C@H]1COC(=O)N1c1ccc2cnc(Nc3cnn(C4CCOCC4)c3C)nc2c1
wild_620943,0.625,C[C@H]1COC(=O)N1c1ccc2cnc(Nc3cnn(CC(F)(F)F)c3)nc2c1
wild_620956,0.625,C[C@H]1COC(=O)N1c1ccc2cnc(Nc3cnn4CCCCc34)nc2c1
wild_620950,5.2,C[C@H]1COC(=O)N1c1ccc2cnc(Nc3cnsc3)nc2c1
wild_620934,0.625,C[C@H]1COC(=O)N1c1ccc2cnc(Nc3snc(C)c3C)nc2c1
wild_620930,11,C[C@H]1COC(=O)N1c1ccc2cnc(Nc3snc(C)c3C3CC3)nc2c1
wild_577570,3,C[C@H]1COC[C@@H]1n1c(cc2cnc(Nc3ccc(cc3OC3COC3)C(C)(C)O)nc12)C#N
wild_577567,3,C[C@H]1COC[C@@H]1n1c(cc2cnc(Nc3cn(C)nc3O[C@@H]3CN(C(C)=O)C3(C)C)nc12)C#N
wild_577568,2,C[C@H]1COC[C@@H]1n1c(cc2cnc(Nc3cn(C)nc3O[C@H]3CN(C(C)=O)C3(C)C)nc12)C#N
wild_577551,6,C[C@H]1COC[C@@H]1n1c(cc2cnc(Nc3cn(C)nc3OC3CN(C3)C(C)=O)nc12)C#N
wild_577558,5,C[C@H]1COC[C@@H]1n1c(cc2cnc(Nc3cn(C)nc3OC3COC3)nc12)C#N
wild_577564,2,C[C@H]1COC[C@@H]1n1c(cc2cnc(Nc3cn(CS(C)(=O)=O)nc3OC3COC3)nc12)C#N
wild_577577,489,C[C@H]1COC[C@H]1n1c(cc2cnc(Nc3cn(C)nc3OC3COC3)nc12)C#N
wild_624753,44,C[C@H]1COCC[C@@H]1n1nc2OCCCn3nc(Cl)c4cnc(Nc2c1C)nc34
wild_624754,14,C[C@H]1COCC[C@H]1n1nc2OCCCn3nc(Cl)c4cnc(Nc2c1C)nc34
wild_577552,5,C[C@H]1COCC1Oc1nn(C)cc1Nc1ncc2cc(C#N)n([C@H]3COC[C@@H]3C)c2n1
wild_185499,44,C[C@H]1COCCN1c1ncnc2[nH]cc(-c3cccc(c3)C#N)c12
wild_634423,55,C[C@H]1OC(=O)NCCCOc2ccc3[nH]nc(-c4cc(F)cc1c4)c3c2
wild_577596,241,C[C@H]1OC[C@@H]1n1c(cc2cnc(Nc3cn(C)nc3OC3COC3)nc12)C#N
wild_577574,5,C[C@H]1OC[C@H]1Oc1nn(C)cc1Nc1ncc2cc(C#N)n([C@H]3COC[C@@H]3C)c2n1
wild_577556,4,C[C@H]1OCC1Oc1nn(C)cc1Nc1ncc2cc(C#N)n([C@H]3COC[C@@H]3C)c2n1
wild_559573,550,C[n]1C=C(c2cnc(Nc3cnn(C)c3Cl)nc12)C(F)(F)F
wild_569098,550,C\C=C\c1n[nH]c2ccc(NC(=O)c3ncc(C#N)c(C)c3C)cc12
wild_568937,550,C=Cc1cc(cnc1C(=O)Nc1ccc2[nH]nc(-c3ccoc3)c2c1)C#N
wild_239528,71.6,C1CC(=CCN1)c1ccc2[nH]nc(-c3cc(ncn3)N3CCOCC3)c2c1
wild_50507671,41,C1CC(CCO1)Nc1nccc2[nH]nc(-c3ccccn3)c12
wild_105064,135,C1CC(CCO1)Nc1nccc2[nH]nc(-c3ccnc(c3)N3CCOCC3)c12
wild_50507672,12,C1CC(CCO1)Oc1nccc2[nH]nc(-c3ccnc(c3)N3CCOCC3)c12
wild_50603041,42,C1CC(Nc2ccc3[nH]nc(-c4ccncc4)c3c2)c2ccccc2O1
wild_185576,97.8,C1CC=C(CO1)c1c[nH]c2ncnc(N3CCOCC3)c12
wild_50584333,15,C1CC1c1cccc2cnc(Nc3cnn(c3)C3CCOCC3)nc12
wild_50507966,170,C1CCC(C1)n1cc(cn1)-c1n[nH]c2ccnc(NC3CCOCC3)c12
wild_105071,4,C1CCC(C1)n1cc(cn1)-c1n[nH]c2ccnc(OC3CCOCC3)c12
wild_105100,3,C1CCN(C1)c1cc(ccn1)-c1n[nH]c2ccnc(OC3CCOCC3)c12
wild_185375,71,C1CCN(C1)c1ncnc2[nH]cc(-c3ccccc3)c12
wild_239470,192.7,C1CN(CCO1)c1cc(ncn1)-c1n[nH]c2ccc(cc12)-c1ccc2ncnn2c1
wild_239480,56.1,C1CN(CCO1)c1cc(ncn1)-c1n[nH]c2ccc(cc12)-c1ccc2nncn2c1
wild_239514,5.5,C1CN(CCO1)c1cc(ncn1)-c1n[nH]c2ccc(cc12)-c1cccnc1
wild_239530,2.63,C1CN(CCO1)c1cc(ncn1)-c1n[nH]c2ccc(cc12)-c1ccn[nH]1
wild_239471,96.7,C1CN(CCO1)c1cc(ncn1)-c1n[nH]c2ccc(cc12)-c1ccncc1
wild_239524,19.01,C1CN(CCO1)c1cc(ncn1)-c1n[nH]c2ccc(cc12)-c1ccoc1
wild_239525,36.4,C1CN(CCO1)c1cc(ncn1)-c1n[nH]c2ccc(cc12)-c1ccsc1
wild_239532,2.3,C1CN(CCO1)c1cc(ncn1)-c1n[nH]c2ccc(cc12)-c1cn[nH]c1
wild_239314,34.7,C1CN(CCO1)c1cc(ncn1)-c1n[nH]c2ccc(cc12)-c1cnccn1
wild_239473,40.7,C1CN(CCO1)c1cc(ncn1)-c1n[nH]c2ccc(cc12)-c1cncnc1
wild_185578,129,C1CN(CCO1)c1ncnc2[nH]cc(-c3cccc(c3)-c3ncon3)c12
wild_50059347,9,C1CN(CCO1)c1ncnc2[nH]cc(-c3ccccc3)c12
wild_185452,35,C1CN(CCO1)c1ncnc2[nH]cc(-c3cccnc3)c12
wild_185572,25,C1CN(CCO1)c1ncnc2[nH]cc(-c3cn[nH]c3)c12
wild_185553,6.26,C1CN(CCO1)c1ncnc2[nH]cc(-c3cnc4cccnn34)c12
wild_185546,15.8,C1CN(CCO1)c1ncnc2[nH]cc(-c3cnc4sccn34)c12
wild_185453,27,C1CN(CCO1)c1ncnc2[nH]cc(-c3cncc4ccccc34)c12
wild_50059416,914,C1CN(CCO1)c1ncnc2[nH]cc(-c3cnccn3)c12
wild_185557,35.6,C1CN(CCO1)c1ncnc2[nH]cc(-c3cnn4cccnc34)c12
wild_185577,76.7,C1COC=C(C1)c1c[nH]c2ncnc(N3CCOCC3)c12
wild_569127,5500,CC(=C)c1c(cccc1C(=O)Nc1ccc2[nH]nc(C)c2c1)C#N
wild_569166,5500,CC(=C)c1cc(cnc1C(=O)Nc1ccc2[nH]nc(C)c2c1)C#N
wild_569120,550,CC(=C)c1n[nH]c2ccc(NC(=O)c3ncc(C#N)c(C)c3C)cc12
wild_569160,550,CC(=N)c1cc(NC(=O)c2nc(Cl)c(cc2C)C#N)ccc1N
wild_569159,550,CC(=N)c1cc(NC(=O)c2ncc(C#N)c(Cl)c2C)ccc1N
wild_593114,300,CC(=O)N[C@H]1C[C@H](COc2nc(Nc3ccc(cc3)N3CCOCC3)ncc2F)C1
wild_593200,125,CC(=O)N[C@H]1CC[C@@H](COc2nc(Nc3ccc(cc3)N3CCOCC3)ncc2F)C1
wild_593094,125,CC(=O)N[C@H]1CC[C@H](COc2ccnc(Nc3ccc(cc3)N3CCOCC3)n2)CC1
wild_593096,125,CC(=O)N[C@H]1CC[C@H](COc2ccnc(Nc3cn(nc3C)C(C)(C)C#N)n2)CC1
wild_593110,125,CC(=O)N[C@H]1CC[C@H](COc2nc(Nc3ccc(cc3)N3CCOCC3)ncc2C2CC2)CC1
wild_593216,125,CC(=O)N[C@H]1CC[C@H](COc2nc(Nc3cn(C)nc3C)ncc2F)CC1
wild_593219,125,CC(=O)N[C@H]1CC[C@H](COc2nc(Nc3cn(nc3C)C(F)F)ncc2F)CC1
wild_593205,125,CC(=O)N[C@H]1CC[C@H](COc2nc(Nc3cnn(C)c3)ncc2F)CC1
wild_593209,300,CC(=O)N[C@H]1CC[C@H](COc2nc(Nc3cnn(c3)C(F)(F)F)ncc2F)CC1
wild_593214,125,CC(=O)N[C@H]1CC[C@H](COc2nc(Nc3cnn(c3)C3COC3)ncc2F)CC1
wild_50612220,513,CC(=O)N1c2nnnn2CC(C(=O)Nc2ccc3[nH]ncc3c2)=C1C
wild_559595,55,CC(=O)N1CCC(CC1)n1ncc(Nc2ncc3c(Cl)cn(C)c3n2)c1Cl
wild_593194,125,CC(=O)N1CCC(COc2nc(Nc3ccc(cc3)N3CCOCC3)ncc2F)C(F)C1
wild_593198,300,CC(=O)N1CCC(COc2nc(Nc3cn(nc3C)C(C)(C)C#N)ncc2F)C(F)C1
wild_50437061,7,CC(=O)N1CCc2[nH]c(\C=C3/C(=O)Nc4ccc(cc34)C#N)cc2C1
wild_50437062,31,CC(=O)N1CCc2[nH]c(\C=C3/C(=O)Nc4ccc(cc34)C(F)(F)F)cc2C1
wild_239188,3.15,CC(=O)N1CCN(CC1)c1cc(ncn1)-c1n[nH]c2ccc(cc12)-c1cnn(C)c1
wild_620697,7.16,CC(=O)N1CCN(CC1)c1cc2nc(Nc3cnn(C4CC4)c3Cl)ncc2cc1Cl
wild_593100,300,CC(=O)NC12CCC(COc3ccnc(Nc4cn(nc4C)C(C)(C)C#N)n3)(CC1)CC2
wild_50026595,10000,CC(=O)Nc1ccc(\C=C2\C(=O)Nc3ccc(Cl)cc23)cc1
wild_50437052,4,CC(=O)Nc1ccc2NC(=O)\C(=C/c3cc4CN(CCc4[nH]3)C(=O)N3CCOCC3)c2c1
wild_678015,468,CC(=O)Nc1cccc(n1)C(=O)Nc1cnn(c1)C1CCC1
wild_185400,50,CC(=O)NC1CCN(CC1)c1ncnc2[nH]cc(-c3cccc(c3)C#N)c12
wild_50583984,1390,CC(=O)NC1CCN(CC1)c1ncnc2[nH]cc(-c3cccc(Cl)c3)c12
wild_678019,661,CC(=O)Nc1nc(cs1)C(=O)Nc1cnn(c1)C1CCC1
wild_678058,39.8,CC(C#N)n1cc(NC(=O)c2csc(n2)-c2cn[nH]c2)c(n1)C(F)F
wild_593279,125,CC(C)(C#N)n1cc(Nc2ncc(F)c(OCC34CCC(O)(CC3)CC4)n2)cn1
wild_593243,125,CC(C)(C#N)n1cc(Nc2ncc(F)c(OCC3CCC(O)CC3)n2)cn1
wild_593040,125,CC(C)(C#N)n1cc(Nc2ncc(F)c(OCC3CCNCC3)n2)cn1
wild_620872,4.02,CC(C)(C#N)n1ncc(Nc2ncc3cc(Cl)c(cc3n2)N2CCC(C)(O)CC2)c1Cl
wild_282569,4000,CC(C)(C)c1ccc2nnc(C(N)=O)c(N)c2c1
wild_50432042,75,CC(C)(C)c1cccc(Sc2ccc3nnc(-c4cncs4)n3n2)c1
wild_50597002,0.187499,CC(C)(C)Cn1cc(Nc2ncc3cc(Cl)c(cc3n2)N2CCC(CC2)C2(C)COC2)cn1
wild_620843,9.73,CC(C)(C)Cn1cc(Nc2ncc3cc(Cl)c(cc3n2)N2CCN(CC2)C2(C)COC2)cn1
wild_677969,60.3,CC(C)(C)n1cc(NC(=O)c2csc(n2)-c2cn[nH]c2)cn1
wild_620825,0.792,CC(C)(C)n1cc(Nc2ncc3cc(Cl)c(cc3n2)N2CCN(CC2)C2(C)COC2)cn1
wild_620812,4.75,CC(C)(C)n1ncc(Nc2ncc3cc(Cl)c(cc3n2)N2CCC(CC2)N2CC(F)(F)C2)c1Cl
wild_620810,1.01,CC(C)(C)n1ncc(Nc2ncc3cc(Cl)c(cc3n2)N2CCN(CC2)C2(C)COC2)c1Cl
wild_620914,11.4,CC(C)(C)n1nccc1Nc1ncc2cc(Cl)c(cc2n1)N1CCN(CC1)C1(C)COCC1O
wild_282596,45,CC(C)(C)Nc1c(nnc2cc(ccc12)-c1ccc(cc1)S(C)(=O)=O)C(N)=O
wild_50535645,0.9,CC(C)(O)[C@@H]1CCN(C1)c1cc(ncn1)-n1ncc2ccc(cc12)C1(CC2(CC2)C1)C#N
wild_50609733,6,CC(C)(O)[C@@H]1CCN(C1)c1cc(ncn1)-n1ncc2ccc(cc12)-c1ccn[nH]1
wild_50590225,1.3,CC(C)(O)[C@@H]1CCN(C1)c1cnc(c(NC(=O)c2cccc(n2)-c2cnn(c2)C2CCC2)c1)C(F)(F)F
wild_50590229,0.7,CC(C)(O)[C@@H]1CCN(C1)c1cnc(c(NC(=O)c2cccc(n2)-c2cnn(CC(F)(F)F)c2)c1)C(F)(F)F
wild_50590228,0.3,CC(C)(O)[C@@H]1CCN(C1)c1cnc(c(NC(=O)c2cccc(n2)-c2cnn(CC3(CC3)C(F)(F)F)c2)c1)C(F)(F)F
wild_50590227,0.4,CC(C)(O)[C@@H]1CCN(C1)c1cnc(c(NC(=O)c2cccc(n2)-c2cnn(CC3CC3)c2)c1)C(F)(F)F
wild_50609742,0.3,CC(C)(O)[C@]12CC(C1)N(C2)c1cc(ncn1)-n1ncc2ccc(cc12)[C@@]1(CC11CC1)C#N
wild_593158,125,CC(C)(O)[C@H]1CC[C@H](COc2ccnc(Nc3ccc(cc3)N3CCOCC3)n2)CC1
wild_593276,125,CC(C)(O)[C@H]1CC[C@H](COc2nc(Nc3ccc(cc3)N3C4CCC3COC4)ncc2F)CC1
wild_593166,125,CC(C)(O)[C@H]1CC[C@H](COc2nc(Nc3ccc(cc3)N3CCOCC3)ncc2F)CC1
wild_50609740,300,CC(C)(O)C12CC(C1)N(C2)c1cc(ncn1)-n1ncc2ccc(cc12)C(C)(C#N)C1CC1
wild_50609739,35,CC(C)(O)C12CC(C1)N(C2)c1cc(ncn1)-n1ncc2ccc(cc12)C1(CC1(C)C)C#N
wild_50609737,14,CC(C)(O)C12CC(C1)N(C2)c1cc(ncn1)-n1ncc2ccc(cc12)C1(CC1)C#N
wild_50609734,4,CC(C)(O)C12CC(C1)N(C2)c1cc(ncn1)-n1ncc2ccc(cc12)-c1ccn[nH]1
wild_50535644,2.6,CC(C)(O)C1CN(C1)c1cc(ncn1)-n1ncc2ccc(cc12)C1(CC2(CC2)C1)C#N
wild_620871,27.3,CC(C)(O)CC(O)Cn1ncc(Nc2ncc3cc(Cl)c(cc3n2)N2CCC(C)(O)CC2)c1Cl
wild_50507676,13,CC(C)(O)Cn1cc(cn1)-c1n[nH]c2ccnc(OC3CCOCC3)c12
wild_620751,0.393,CC(C)(O)Cn1cc(Nc2ncc3cc(Cl)c(cc3n2)N2C[C@@H]3CC[C@H](C2)[C@]3(C)O)cn1
wild_620731,0.221,CC(C)(O)Cn1cc(Nc2ncc3cc(Cl)c(cc3n2)N2CCC(C)(O)CC2)cn1
wild_620729,0.407,CC(C)(O)Cn1cc(Nc2ncc3cc(Cl)c(cc3n2)N2CCC(O)CC2)cn1
wild_620838,5.26,CC(C)(O)Cn1cc(Nc2ncc3cc(Cl)c(cc3n2)N2CCN(CC2)C2(C)COC2)cn1
wild_50596998,0.075858,CC(C)(O)CN1CCN(CC1)c1cc2nc(Nc3cnn(C4CC4)c3Cl)ncc2cc1Cl
wild_620984,36.7,CC(C)(O)Cn1ncc(Nc2ncc3cc(Br)c(NCC4CC4)nc3n2)c1Cl
wild_50584320,0.8,CC(C)(O)Cn1ncc(Nc2ncc3cc(Cl)c(cc3n2)C2CCN(CC2)C2COC2)c1Cl
wild_620749,5.09,CC(C)(O)Cn1ncc(Nc2ncc3cc(Cl)c(cc3n2)N2C[C@@H]3CC[C@H](C2)[C@]3(C)O)c1Cl
wild_620732,1.54,CC(C)(O)Cn1ncc(Nc2ncc3cc(Cl)c(cc3n2)N2CCC(C)(O)CC2)c1Cl
wild_620730,0.488,CC(C)(O)Cn1ncc(Nc2ncc3cc(Cl)c(cc3n2)N2CCC(O)CC2)c1Cl
wild_620830,2.76,CC(C)(O)Cn1ncc(Nc2ncc3cc(Cl)c(cc3n2)N2CCN(CC2)C2(C)COC2)c1Cl
wild_50432032,2420,CC(C)(Sc1ccc2nnc(-c3cccs3)n2n1)C(N)=O
wild_410755,550,CC(C)[C@H]1CN2CCN(C)c3ccn4ncc(-c5cc(OC[C@@H]2CN1)ccc5F)c4n3
wild_239509,28.8,CC(C)=Cc1ccc2[nH]nc(-c3cc(ncn3)N3CCN(CC3)S(C)(=O)=O)c2c1
wild_239513,16.4,CC(C)=Cc1ccc2[nH]nc(-c3cc(ncn3)N3CCOCC3)c2c1
wild_569096,550,CC(C)=Cc1n[nH]c2ccc(NC(=O)c3ncc(C#N)c(C)c3C)cc12
wild_50432033,1294,CC(C)C(Sc1ccc2nnc(-c3cccs3)n2n1)C(N)=O
wild_569148,550,CC(C)c1c(cccc1C(=O)Nc1ccc2[nH]nc(C)c2c1)C#N
wild_50597179,15,CC(C)c1cc(ccc1-c1cccc(c1)S(N)(=O)=O)-c1c(C)[nH]nc1-c1ccncc1
wild_678073,12.9,CC(C)c1cc(ccn1)-n1cc(NC(=O)c2csc(n2)-c2cn[nH]c2)cn1
wild_569147,5500,CC(C)c1cc(cnc1C(=O)Nc1ccc2[nH]nc(C)c2c1)C#N
wild_569104,550,CC(C)c1cc(cnc1C(=O)Nc1ccc2[nH]nc(-c3cnco3)c2c1)C#N
wild_620952,8.03,CC(C)c1cc(Nc2ncc3ccc(cc3n2)N2[C@@H](C)COC2=O)ns1
wild_50526884,980,CC(C)c1ccc2nc(NC(=O)c3ccc(cc3)N3CCOCC3)sc2c1
wild_634427,55,CC(C)C1COC(=O)NCCCOc2ccc3[nH]nc(-c4cnn1c4)c3c2
wild_105143,35,CC(C)c1nc(n[nH]1)-c1n[nH]c2ccnc(NC3CCOCC3)c12
wild_223541,910,CC(C)c1nnc(o1)-c1cc(cnc1N)-c1ccc2[nH]ccc2c1
wild_50599927,12,CC(C)CN(CC(=O)NCCCCCCNC(=O)c1ccc(cc1)-c1n[nH]c2ccccc12)C(=O)CNC(=O)C1COc2ccccc2C1
wild_50507967,410,CC(C)Cn1cc(cn1)-c1n[nH]c2ccnc(NC3CCOCC3)c12
wild_50507981,15,CC(C)Cn1cc(cn1)-c1n[nH]c2ccnc(OC3CCOCC3)c12
wild_678050,25.7,CC(C)Cn1cc(NC(=O)c2csc(n2)-c2cn[nH]c2)c(n1)C(F)F
wild_678068,34.7,CC(C)Cn1cc(NC(=O)c2csc(n2)-c2cn[nH]c2)cn1
wild_50507978,110,CC(C)n1cc(cn1)-c1n[nH]c2ccnc(NC3CCCCC3)c12
wild_50507968,2,CC(C)n1cc(cn1)-c1n[nH]c2ccnc(OC3CCCCC3)c12
wild_50507979,11,CC(C)n1cc(cn1)-c1n[nH]c2ccnc(OC3CCOCC3)c12
wild_677991,437,CC(C)n1cc(NC(=O)c2coc(n2)-c2cn[nH]c2)cn1
wild_678045,19.1,CC(C)n1cc(NC(=O)c2csc(n2)-c2cn[nH]c2)c(n1)C(F)F
wild_677959,67.6,CC(C)n1cc(NC(=O)c2csc(n2)-c2cn[nH]c2)c(OCC(F)(F)F)n1
wild_677998,26.9,CC(C)n1cc(NC(=O)c2csc(n2)-c2cn[nH]c2)c(OCC(F)F)n1
wild_677972,20.9,CC(C)n1cc(NC(=O)c2csc(n2)-c2cn[nH]c2)cn1
wild_593277,125,CC(C)n1cc(Nc2ncc(F)c(OC[C@H]3CC[C@@H](CC3)C(C)(C)O)n2)cn1
wild_593252,125,CC(C)n1cc(Nc2ncc(F)c(OC[C@H]3CC[C@H](O)CC3)n2)c(C)n1
wild_593260,300,CC(C)n1cc(Nc2ncc(F)c(OC[C@H]3CC[C@H](O)CC3)n2)c(Cl)n1
wild_593240,125,CC(C)n1cc(Nc2ncc(F)c(OC[C@H]3CC[C@H](O)CC3)n2)cn1
wild_559579,55,CC(C)n1cc(Nc2ncc3c(Cl)cn(C(C)C)c3n2)c(Cl)n1
wild_559575,55,CC(C)n1cc(Nc2ncc3c(Cl)cn(C)c3n2)c(Cl)n1
wild_559581,550,CC(C)n1cc(Nc2ncc3c(Cl)cn(C)c3n2)c(n1)C(F)(F)F
wild_593098,125,CC(C)n1cc(Nc2nccc(OC[C@H]3CC[C@@H](CC3)NC(C)=O)n2)cn1
wild_223566,490,CC(C)n1cc(nn1)-c1cc(cnc1N)-c1cc(Cl)cc(c1)C(=O)N1CCOCC1
wild_223567,610,CC(C)n1cc(nn1)-c1cc(cnc1N)-c1cc(Cl)cc(CN2CCOCC2)c1
wild_223560,99,CC(C)n1cc(nn1)-c1cc(cnc1N)-c1ccc(C(=O)N2CCOCC2)c(C)c1
